,VFINX,VEXMX,NAESX,VEURX,VPACX,VBINX,VIVAX,VEIEX,VIMSX,VISGX,VISVX,QQQ,VBIAX,VGSLX
2010-10-29,0.03812348181991244,0.0004479718390770146,-9.883401485633048e-05,0.009704690916934627,-0.011685083563585587,0.0013540839649727118,-0.009022885945547131,-0.00874096757882549,0.0026710787233622316,-0.0015219010778710976,-0.0002629263316303587,0.004832740223431754,-9.417957339151115e-05,0.011440550614474833
2010-11-30,0.00014169264624975248,0.031567476600480496,-0.001383647991770997,-0.08412654616531388,0.04791765416247728,-0.0010782418449180823,0.001901635423317053,-0.006665595128365245,0.007998055888348269,0.00398202382065458,0.00015018119755048215,-0.018022253669887908,-0.00013429259573628045,-0.033360774728887765
2010-12-31,0.06688325251408311,-0.00032512862299939604,0.0060977141894262565,0.02355004974355214,0.00945175201892233,-0.005305796444067229,0.007815231260568933,-0.017885337218370212,-0.005645339746494171,0.011480326306319455,-0.003917276087284899,-0.019097377567986788,0.00025300832229296216,-0.0034352344545566862
2011-01-31,0.023697023655357034,-0.011751964373116876,-0.004776349464020717,0.015598210700299438,-0.02659873117626596,-2.9340235029682443e-05,0.007434152308993976,-0.04536008025011939,0.004841159632075612,0.0031374117825833546,-0.009837043189772174,0.011956200581228163,-7.930871762595534e-05,0.027074057441305893
2011-02-28,0.0342830430687921,0.009333829925608952,0.0075022473094830885,-0.0020282539299073463,0.01380232335318755,0.0004349423674852304,0.0036600128878432475,-0.05375090285382878,-0.002947147314326326,0.011909278187335677,-0.0069596151971274,0.0017177245042302655,-9.509842598731319e-05,0.0051950269248889555
2011-03-31,0.0003335476623515567,0.021622433794770975,0.0019992011951478865,-0.013217472691703432,-0.05563983366980995,-1.5562097012933925e-05,0.0017933909854006605,0.07904150331038098,0.004315634149538412,0.006633929310799317,-0.0006807786419597301,-0.02981087897229124,0.000314060163813423,-0.017257691728359125
2011-04-29,0.029684640790479336,-0.004961693312785422,0.002899992204772956,0.05356953039762087,-0.023532633006825093,0.005027246432844499,-0.002772976353925472,-0.01835661202849214,-0.0037993684344301663,0.005762968949920146,-0.004142457246292992,-0.001765756895046048,-9.124481575123466e-05,0.01825614503062449
2011-05-31,-0.011331007104607377,-0.0008927682773248596,-0.006890768585469942,-0.017264364879110636,-0.006812648719183224,0.005694772485794331,0.004401074802795191,-0.0008122373974232232,0.008774213157175883,-0.004064568822793078,-0.004764223808077072,0.0014926265325757356,-0.00011666128564168229,0.012059024771058722
2011-06-30,-0.016603785907488174,-0.004732276245158908,0.0024975942502265362,-0.004145557702289866,0.02277303528082905,-0.000803780154716582,-0.006798459776662508,-0.0018976687050720129,-0.0027993018292126297,-0.00022068204230668922,0.001507948309197208,-0.0018159093583351923,0.00020647794273630053,-0.0164251987202475
2011-07-29,-0.020344687628442267,-0.009044925653834968,-0.005845292078902328,-0.014549492668903867,0.03972960184226395,0.006838395368859077,-0.009240282621042043,0.012302675473300401,-0.00665090938673657,-0.007975580665887497,0.0078076178745419555,0.033104221765089564,-0.00018424425826532326,0.024010091118340092
2011-08-31,-0.05425052096444854,-0.023434302576960782,-0.0010427245600543311,-0.04452831441890478,0.009013373702298252,0.009540172708518972,0.0009341057422492388,0.009074076209091606,-0.001971228820211987,-0.0024519234434524084,-0.005073484552380728,0.022847128958604586,0.0003059097601741251,-0.01682437946825604
2011-09-30,-0.07025788991657061,-0.03265974528563974,-0.0014261234340153667,-0.04184653684271519,0.0033564503861657213,0.004854955263560702,0.0012667006270498798,-0.04616975215401928,-0.005993984829330279,-0.00188340386732673,-0.0072202296861202525,0.05456475433060331,-0.00022447792760774132,-0.030100966765557194
2011-10-31,0.10926520059506667,0.022303454126249428,0.012738301203192137,0.007628088848705056,-0.04364461870678192,-0.0009125181142524558,-0.007042437051777858,0.027812820364317703,0.003181340395210369,0.008217379724617307,0.0012750034070914962,-0.04729502902419337,-7.178027013041155e-06,0.02537027601172423
2011-11-30,-0.0022080521184851217,-0.002726861375124852,0.0013745089945800455,-0.030768019797517757,0.010316120409769168,-0.0003472310314825769,-0.0008026638369844886,-0.013737684133094365,-0.0013754568748916675,-0.0014529322329978837,0.0006171421602023824,-0.022011309055816594,-0.00012025962303000579,-0.036447065984345065
2011-12-30,0.010302831660671646,-0.012350401791255591,0.0036649693597240554,-0.03020316704869802,-0.013399638648943675,0.004971449603666974,0.016173957075665525,-0.013219404797842157,-0.012620800394729232,0.005196031939793007,-0.0030887565704419296,0.0026558060209545577,0.00028853261947730906,0.029378828303526658
2012-01-31,0.04477396373056992,0.02619281899947619,-0.004314966651547708,0.007375048073670981,0.022112368382357382,0.002658965758264055,-0.00530352488704694,0.039207591000483225,0.005213486335875268,-0.006443063209405395,0.009943154760949625,0.009592663406783788,-0.00012963246275669166,-0.0017498791286574972
2012-02-29,0.04327195266435208,-0.007221155054418546,-0.007051263737255689,0.01705009469436141,0.0011494096124061229,-0.0016709889708139136,-0.0006293920955665541,0.003681362095607564,0.003735344018037115,0.0038613638682872473,-0.0037798287995626095,0.0039870890420395655,0.0003355349920577677,-0.029555719895300987
2012-03-30,0.032914353148091276,-0.013495581672934586,0.0014899597022974588,-0.028430770270561758,-0.00038634734916032044,-0.002167010849654677,-0.0022255228383106507,-0.03546999170616095,-0.004864158340475853,0.0019784591057864613,-0.0011172410793681385,0.012137032006916244,-0.0002720244903986792,0.04146609237562311
2012-04-30,-0.006276718292494927,-0.0014367573545555979,-0.0007547864180384254,-0.016586583261459974,-0.0045824282901806915,0.0049677423964794055,0.0007572971340655214,0.0037337690738044813,0.0007822662714989702,-0.001979325462624067,-0.0012211131886086688,-0.0036474216451133227,0.00031496547253243034,0.019869657913210492
2012-05-31,-0.0600544871794873,-0.004042117060877981,0.0008028558639563699,-0.060927950834260274,-0.012449365895728662,0.00590859612033489,0.00450583589621046,0.00034709790473858027,-0.006855286289289456,-0.002035233808012002,0.0007048288322430013,0.005758822974030131,-0.0005283867434282968,-0.0001951785692245675
2012-06-29,0.04128782042004415,-0.014114610761566511,0.01521048207100361,0.03641657008553,0.015944997204094466,-0.0012737537525294093,-0.004295722593039064,-0.019400547742402977,-0.016097852378845794,0.012261452077480618,-0.0020663623024683928,0.0029054456941053283,0.0006949139572794243,0.01941343859763635
2012-07-31,0.013821037435284683,-0.021230272734392222,-0.0011917614765072724,-0.0028649134160337623,-0.007414028675216497,0.005867055264136031,0.0016974076424951159,0.008973642118368163,-0.005165647965510635,-0.002237268246986753,-0.0010391686710107622,0.0014186328532560348,-0.00011568996748414703,0.0038814748130525344
2012-08-31,0.022590378168866502,0.011846936495960542,-0.0015022352195289204,0.022124512489287172,-0.0251516104530053,-0.0002707957239570444,-0.007460338377702434,-0.0266496684116297,0.004297383715499075,-0.0013042198438508318,0.0013313697005624368,0.012794478329790915,-9.365956831491017e-05,-0.024294414531649468
2012-09-28,0.025866317064195014,-0.003946629958984323,0.003934095168032503,0.00743984843004469,-0.0030198948479828354,0.0003012690966633959,0.0031530008298593787,0.024881073935165407,-0.007833108773057384,0.004834958808658901,0.0015900537332434912,-0.016836484452218074,-6.539694961299816e-05,-0.04167956788195863
2012-10-31,-0.01847824600366393,0.0076195929005609345,-0.0024210761902186233,0.033589144856224856,-0.007871996532523908,0.00023845521372516283,0.011443528826956106,-0.010293143984513128,0.000615269353283222,-0.004301966830192842,0.0016515948532171924,-0.012079896880261905,-0.00012348987433548342,-0.005834257922560451
2012-11-30,0.005794523919102128,0.010510533770383756,-0.004872702561798151,0.018683455994171844,0.004160501964507082,-6.526382641080207e-05,-0.009450549487852407,-0.010707408730376417,0.007784264220448954,-0.006294284704709876,0.0035200050078164156,-0.006845850517917007,0.0002896765691799098,-0.01776988198216516
2012-12-31,0.009145550651792516,0.01783410613636536,0.003103267199904069,0.023044463187299368,0.0206626533609668,-0.0013323654456259765,0.007130077168282215,0.014116532187380529,0.0010740668634989792,0.00100601221536481,0.0020089783491816227,-0.007487925394485246,-0.00021383170112926602,0.01148000385947811
2013-01-31,0.05187998591763727,0.010463645145101959,-0.0026235481829176704,-0.00062361379327764,-0.008747054140700164,-0.0033614379284893636,0.014784673457228878,-0.050304901049412175,0.006166908157902912,0.0026164590994932346,-0.005644936016170568,-0.020758242353573524,-7.86486273318468e-05,-0.009570049697329983
2013-02-28,0.013574739470256286,-0.004673609594716311,0.0038515603460231567,-0.044764778265461276,0.04105053925451313,0.0028084667547338777,0.004343738065841665,-0.017410504171356474,-0.0005210708179397647,-0.0007434776984330156,-0.0023734072166748214,0.00019938752422142894,-0.00014502597114634738,-0.014729437750894343
2013-03-28,0.03750322533953238,0.0057968721973232495,0.0009008310591402599,-0.03369929886831795,0.023666628376991548,8.42434663978521e-05,0.0057668656921090675,-0.04449389592683016,0.0014004566377336866,0.00455766857575083,-0.003630258987615792,-0.007552194611981717,0.00025116704572283183,-0.0123654644478637
2013-04-30,0.019265786713689562,-0.015171926381398745,-0.003600484396874002,0.0276400914584463,0.02932209134949166,0.0032894610014320286,0.0036044018635071895,-0.03088047953861059,0.0029893810297803667,-0.0059786468356545315,-0.01108980958891746,0.01355231757969855,0.00023791204850495164,0.04569326203975857
2013-05-31,0.023381106248728082,0.00271608831986523,0.008581382674692599,-0.02478184877187592,-0.07683442187308187,-0.006638014071635269,-0.0013304341917959768,-0.01158307540223101,-0.004764821661160795,0.011117479016925294,-0.0020999490223222034,-0.0028188548475737013,-0.00040297773947397825,-0.04915025355442147
2013-06-28,-0.013418611042444512,0.004798195774366472,-0.0003233763932940486,-0.029919092043934635,0.020690135333584315,-0.005697504758085104,0.005220140959570262,-0.04038905206498941,0.0021223254710354637,0.004745289449879108,-0.004083210670384823,-0.0010750193739548115,0.000253741709377895,0.008102596699366155
2013-07-31,0.05090286220871327,0.01391910702578978,-0.0017871553130141271,0.02360364101338125,-0.03556514783908016,-0.000526429433278415,0.0029572172532033175,-0.04943040337549571,-0.0029417521633322216,0.0007898853890588309,0.0028525927858235045,0.004262201603316522,-6.516768220689306e-05,-0.04236814243977238
2013-08-30,-0.02894663517161605,0.00380059710415254,-0.004472455981677382,0.015652905136051592,-0.005050779995168833,-0.002018504069306655,-0.007784436056292927,-0.010834189765079785,0.007994588688372842,0.004597090436604324,-0.003937967938480544,0.018722740976659682,0.00024323679892417766,-0.026849068581626896
2013-09-30,0.03135308635037077,0.025542973109039996,-0.0022827470269514774,0.035038341236546026,0.033034896894497706,0.002465527228890773,-0.008544496354241163,-0.009934241862790807,-0.0002886790906166045,-0.002337791280265532,0.008954292799010478,-0.0012143914494241875,-0.0001721640496085905,-0.024353215307042972
2013-10-31,0.04597122414312111,-0.022374497110781395,0.006295211513234096,-0.0008878523343422498,-0.010150704751554718,0.0026232497920682628,-0.0010627778955135808,0.016447451493412577,-0.005752334081165218,-0.0028651844553664457,1.7119520354026696e-05,0.0020900259765279094,0.00028710379223130175,0.0004881175383446498
2013-11-29,0.030447488795691095,-0.00852914488663038,0.0033255440278049005,-0.017472714858750522,-0.010213426528390777,-0.001480673332523795,0.0023275287411986846,-0.03075897728673753,-0.0069579224666722825,0.0015591549520390935,-0.000723949108302549,0.005879398266139466,-0.0004678079107644714,-0.06832225665331775
